d_cloud_cm,sigma_cloud_mm,d_target_cm,d_grain_um,m_grain_mg,m_launch_mg,area_ratio,eps,peak_areal_density_kg_m2,N_grains_total,N_grains_on_target,poisson_cv,averaging_valid
2,4.08547,10,1000,11.0008,50,0.04,1,0.476767,4.54512,4.54512,0.469059,False
2,4.08547,10,1000,11.0008,500,0.04,1,4.76767,45.4512,45.4512,0.148329,False
2,4.08547,10,1000,11.0008,3000,0.04,1,28.606,272.707,272.707,0.0605552,True
2,4.08547,10,1000,11.0008,10000,0.04,1,95.3535,909.024,909.024,0.0331675,True
2,4.08547,10,2000,88.0065,0.5,0.04,1,0.00476767,0.0056814,0.0056814,13.267,False
2,4.08547,10,2000,88.0065,5,0.04,1,0.0476767,0.056814,0.056814,4.19539,False
2,4.08547,10,2000,88.0065,50,0.04,1,0.476767,0.56814,0.56814,1.3267,False
2,4.08547,10,2000,88.0065,500,0.04,1,4.76767,5.6814,5.6814,0.419539,False
2,4.08547,10,2000,88.0065,3000,0.04,1,28.606,34.0884,34.0884,0.171276,False
2,4.08547,10,2000,88.0065,10000,0.04,1,95.3535,113.628,113.628,0.0938118,True
5,10.2137,0.5,50,0.0013751,0.5,100,0.0295119,0.000762828,363.61,10.7308,0.30527,False
5,10.2137,0.5,50,0.0013751,5,100,0.0295119,0.00762828,3636.1,107.308,0.0965347,True
5,10.2137,0.5,50,0.0013751,50,100,0.0295119,0.0762828,36361,1073.08,0.030527,True
5,10.2137,0.5,50,0.0013751,500,100,0.0295119,0.762828,363610,10730.8,0.00965347,True
5,10.2137,0.5,50,0.0013751,3000,100,0.0295119,4.57697,2.18166e+06,64384.9,0.00394101,True
5,10.2137,0.5,50,0.0013751,10000,100,0.0295119,15.2566,7.27219e+06,214616,0.00215858,True
5,10.2137,0.5,100,0.0110008,0.5,100,0.0295119,0.000762828,45.4512,1.34135,0.863433,False
5,10.2137,0.5,100,0.0110008,5,100,0.0295119,0.00762828,454.512,13.4135,0.273041,False
5,10.2137,0.5,100,0.0110008,50,100,0.0295119,0.0762828,4545.12,134.135,0.0863433,True
5,10.2137,0.5,100,0.0110008,500,100,0.0295119,0.762828,45451.2,1341.35,0.0273041,True
5,10.2137,0.5,100,0.0110008,3000,100,0.0295119,4.57697,272707,8048.12,0.0111469,True
5,10.2137,0.5,100,0.0110008,10000,100,0.0295119,15.2566,909024,26827.1,0.00610539,True
5,10.2137,0.5,200,0.0880065,0.5,100,0.0295119,0.000762828,5.6814,0.167669,2.44216,False
5,10.2137,0.5,200,0.0880065,5,100,0.0295119,0.00762828,56.814,1.67669,0.772278,False
5,10.2137,0.5,200,0.0880065,50,100,0.0295119,0.0762828,568.14,16.7669,0.244216,False
5,10.2137,0.5,200,0.0880065,500,100,0.0295119,0.762828,5681.4,167.669,0.0772278,True
5,10.2137,0.5,200,0.0880065,3000,100,0.0295119,4.57697,34088.4,1006.01,0.0315281,True
5,10.2137,0.5,200,0.0880065,10000,100,0.0295119,15.2566,113628,3353.38,0.0172687,True
5,10.2137,0.5,450,1.00245,0.5,100,0.0295119,0.000762828,0.498779,0.0147199,8.24228,False
5,10.2137,0.5,450,1.00245,5,100,0.0295119,0.00762828,4.98779,0.147199,2.60644,False
5,10.2137,0.5,450,1.00245,50,100,0.0295119,0.0762828,49.8779,1.47199,0.824228,False
5,10.2137,0.5,450,1.00245,500,100,0.0295119,0.762828,498.779,14.7199,0.260644,False
5,10.2137,0.5,450,1.00245,3000,100,0.0295119,4.57697,2992.67,88.3195,0.106407,False
5,10.2137,0.5,450,1.00245,10000,100,0.0295119,15.2566,9975.57,294.398,0.0582817,True
5,10.2137,0.5,1000,11.0008,0.5,100,0.0295119,0.000762828,0.0454512,0.00134135,27.3041,False
5,10.2137,0.5,1000,11.0008,5,100,0.0295119,0.00762828,0.454512,0.0134135,8.63433,False
5,10.2137,0.5,1000,11.0008,50,100,0.0295119,0.0762828,4.54512,0.134135,2.73041,False
5,10.2137,0.5,1000,11.0008,500,100,0.0295119,0.762828,45.4512,1.34135,0.863433,False
5,10.2137,0.5,1000,11.0008,3000,100,0.0295119,4.57697,272.707,8.04812,0.352495,False
5,10.2137,0.5,1000,11.0008,10000,100,0.0295119,15.2566,909.024,26.8271,0.193069,False
5,10.2137,0.5,2000,88.0065,0.5,100,0.0295119,0.000762828,0.0056814,0.000167669,77.2278,False
5,10.2137,0.5,2000,88.0065,5,100,0.0295119,0.00762828,0.056814,0.00167669,24.4216,False
5,10.2137,0.5,2000,88.0065,50,100,0.0295119,0.0762828,0.56814,0.0167669,7.72278,False
5,10.2137,0.5,2000,88.0065,500,100,0.0295119,0.762828,5.6814,0.167669,2.44216,False
5,10.2137,0.5,2000,88.0065,3000,100,0.0295119,4.57697,34.0884,1.00601,0.997006,False
5,10.2137,0.5,2000,88.0065,10000,100,0.0295119,15.2566,113.628,3.35338,0.546083,False
5,10.2137,1,50,0.0013751,0.5,25,0.112924,0.000762828,363.61,41.0603,0.156059,False
5,10.2137,1,50,0.0013751,5,25,0.112924,0.00762828,3636.1,410.603,0.0493502,True
5,10.2137,1,50,0.0013751,50,25,0.112924,0.0762828,36361,4106.03,0.0156059,True
5,10.2137,1,50,0.0013751,500,25,0.112924,0.762828,363610,41060.3,0.00493502,True
5,10.2137,1,50,0.0013751,3000,25,0.112924,4.57697,2.18166e+06,246362,0.00201471,True
5,10.2137,1,50,0.0013751,10000,25,0.112924,15.2566,7.27219e+06,821206,0.0011035,True
5,10.2137,1,100,0.0110008,0.5,25,0.112924,0.000762828,45.4512,5.13253,0.441402,False
5,10.2137,1,100,0.0110008,5,25,0.112924,0.00762828,454.512,51.3253,0.139583,False
5,10.2137,1,100,0.0110008,50,25,0.112924,0.0762828,4545.12,513.253,0.0441402,True
5,10.2137,1,100,0.0110008,500,25,0.112924,0.762828,45451.2,5132.53,0.0139583,True
5,10.2137,1,100,0.0110008,3000,25,0.112924,4.57697,272707,30795.2,0.00569847,True
5,10.2137,1,100,0.0110008,10000,25,0.112924,15.2566,909024,102651,0.00312118,True
5,10.2137,1,200,0.0880065,0.5,25,0.112924,0.000762828,5.6814,0.641567,1.24847,False
