d_debris_cm,h_km,beta,miss_budget,sigma_miss_m,material,launch,n_engagements_life,C_platform,m_on_target_g,mass_penalty,m_shot_g,n_kicks,n_shots,cost_material,cost_launch,cost_energy,cost_platform,cost_per_object,cost_per_kg
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,W (upper),3000 dedicated,10000,5e+08,0.105468,16.8444,1.77654,1,1.11111,0.197394,5.92182,2.62617e-05,50000,50006.1,3.53721e+07
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,W (upper),3000 dedicated,100000,5e+07,0.105468,16.8444,1.77654,1,1.11111,0.197394,5.92182,2.62617e-05,500,506.119,358006
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,W (upper),3000 dedicated,100000,5e+08,0.105468,16.8444,1.77654,1,1.11111,0.197394,5.92182,2.62617e-05,5000,5006.12,3.5411e+06
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,W (upper),7000 rideshare,1000,5e+07,0.105468,16.8444,1.77654,1,1.11111,0.197394,13.8176,2.62617e-05,50000,50014,3.53777e+07
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,W (upper),7000 rideshare,1000,5e+08,0.105468,16.8444,1.77654,1,1.11111,0.197394,13.8176,2.62617e-05,500000,500014,3.53688e+08
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,W (upper),7000 rideshare,10000,5e+07,0.105468,16.8444,1.77654,1,1.11111,0.197394,13.8176,2.62617e-05,5000,5014.01,3.54669e+06
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,W (upper),7000 rideshare,10000,5e+08,0.105468,16.8444,1.77654,1,1.11111,0.197394,13.8176,2.62617e-05,50000,50014,3.53777e+07
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,W (upper),7000 rideshare,100000,5e+07,0.105468,16.8444,1.77654,1,1.11111,0.197394,13.8176,2.62617e-05,500,514.015,363591
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,W (upper),7000 rideshare,100000,5e+08,0.105468,16.8444,1.77654,1,1.11111,0.197394,13.8176,2.62617e-05,5000,5014.01,3.54669e+06
1,400,2.5,20 mm budget,0.02,Re (2026-07-22 spot),3000 dedicated,1000,5e+07,0.105468,200.29,21.1242,1,1.11111,170.942,70.414,0.000312267,50000,50241.4,3.55385e+07
1,400,2.5,20 mm budget,0.02,Re (2026-07-22 spot),3000 dedicated,1000,5e+08,0.105468,200.29,21.1242,1,1.11111,170.942,70.414,0.000312267,500000,500241,3.53848e+08
1,400,2.5,20 mm budget,0.02,Re (2026-07-22 spot),3000 dedicated,10000,5e+07,0.105468,200.29,21.1242,1,1.11111,170.942,70.414,0.000312267,5000,5241.36,3.7075e+06
1,400,2.5,20 mm budget,0.02,Re (2026-07-22 spot),3000 dedicated,10000,5e+08,0.105468,200.29,21.1242,1,1.11111,170.942,70.414,0.000312267,50000,50241.4,3.55385e+07
1,400,2.5,20 mm budget,0.02,Re (2026-07-22 spot),3000 dedicated,100000,5e+07,0.105468,200.29,21.1242,1,1.11111,170.942,70.414,0.000312267,500,741.356,524402
1,400,2.5,20 mm budget,0.02,Re (2026-07-22 spot),3000 dedicated,100000,5e+08,0.105468,200.29,21.1242,1,1.11111,170.942,70.414,0.000312267,5000,5241.36,3.7075e+06
1,400,2.5,20 mm budget,0.02,Re (2026-07-22 spot),7000 rideshare,1000,5e+07,0.105468,200.29,21.1242,1,1.11111,170.942,164.299,0.000312267,50000,50335.2,3.56049e+07
1,400,2.5,20 mm budget,0.02,Re (2026-07-22 spot),7000 rideshare,1000,5e+08,0.105468,200.29,21.1242,1,1.11111,170.942,164.299,0.000312267,500000,500335,3.53915e+08
1,400,2.5,20 mm budget,0.02,Re (2026-07-22 spot),7000 rideshare,10000,5e+07,0.105468,200.29,21.1242,1,1.11111,170.942,164.299,0.000312267,5000,5335.24,3.77391e+06
1,400,2.5,20 mm budget,0.02,Re (2026-07-22 spot),7000 rideshare,10000,5e+08,0.105468,200.29,21.1242,1,1.11111,170.942,164.299,0.000312267,50000,50335.2,3.56049e+07
1,400,2.5,20 mm budget,0.02,Re (2026-07-22 spot),7000 rideshare,100000,5e+07,0.105468,200.29,21.1242,1,1.11111,170.942,164.299,0.000312267,500,835.241,590812
1,400,2.5,20 mm budget,0.02,Re (2026-07-22 spot),7000 rideshare,100000,5e+08,0.105468,200.29,21.1242,1,1.11111,170.942,164.299,0.000312267,5000,5335.24,3.77391e+06
1,400,2.5,20 mm budget,0.02,Re (2025 avg),3000 dedicated,1000,5e+07,0.105468,200.29,21.1242,1,1.11111,58.3497,70.414,0.000312267,50000,50128.8,3.54588e+07
