m_p_g,v_m_s,eta,l_barrel_m,n_stages,E_kin_J,E_elec_J,m_cap_kg,m_cu_kg,l_wire_m,wire_awg,energy_cost_usd
2.69,2000,0.4,20.3943,68,5380,13450,8.96667,19.0018,640.707,12,0.000373611
2.69,2000,0.5,20.3943,68,5380,10760,7.17333,19.0018,640.707,12,0.000298889
2.69,3000,0.3,45.8872,153,12105,40350,26.9,42.7541,1441.59,12,0.00112083
2.69,3000,0.4,45.8872,153,12105,30262.5,20.175,42.7541,1441.59,12,0.000840625
2.69,3000,0.5,45.8872,153,12105,24210,16.14,42.7541,1441.59,12,0.0006725
2.69,5000,0.3,127.465,425,33625,112083,74.7222,118.761,4004.42,12,0.00311343
2.69,5000,0.4,127.465,425,33625,84062.5,56.0417,118.761,4004.42,12,0.00233507
2.69,5000,0.5,127.465,425,33625,67250,44.8333,118.761,4004.42,12,0.00186806
10,400,0.3,0.815773,3,800,2666.67,1.77778,0.760073,25.6283,12,7.40741e-05
10,400,0.4,0.815773,3,800,2000,1.33333,0.760073,25.6283,12,5.55556e-05
10,400,0.5,0.815773,3,800,1600,1.06667,0.760073,25.6283,12,4.44444e-05
10,619,0.3,1.95358,7,1915.81,6386.02,4.25734,1.82019,61.3734,12,0.000177389
10,619,0.4,1.95358,7,1915.81,4789.51,3.19301,1.82019,61.3734,12,0.000133042
10,619,0.5,1.95358,7,1915.81,3831.61,2.55441,1.82019,61.3734,12,0.000106434
10,1000,0.3,5.09858,17,5000,16666.7,11.1111,4.75045,160.177,12,0.000462963
10,1000,0.4,5.09858,17,5000,12500,8.33333,4.75045,160.177,12,0.000347222
10,1000,0.5,5.09858,17,5000,10000,6.66667,4.75045,160.177,12,0.000277778
10,2000,0.3,20.3943,68,20000,66666.7,44.4444,19.0018,640.707,12,0.00185185
10,2000,0.4,20.3943,68,20000,50000,33.3333,19.0018,640.707,12,0.00138889
10,2000,0.5,20.3943,68,20000,40000,26.6667,19.0018,640.707,12,0.00111111
10,3000,0.3,45.8872,153,45000,150000,100,42.7541,1441.59,12,0.00416667
10,3000,0.4,45.8872,153,45000,112500,75,42.7541,1441.59,12,0.003125
10,3000,0.5,45.8872,153,45000,90000,60,42.7541,1441.59,12,0.0025
10,5000,0.3,127.465,425,125000,416667,277.778,118.761,4004.42,12,0.0115741
10,5000,0.4,127.465,425,125000,312500,208.333,118.761,4004.42,12,0.00868056
10,5000,0.5,127.465,425,125000,250000,166.667,118.761,4004.42,12,0.00694444
100,400,0.3,0.815773,3,8000,26666.7,17.7778,0.760073,25.6283,12,0.000740741
100,400,0.4,0.815773,3,8000,20000,13.3333,0.760073,25.6283,12,0.000555556
100,400,0.5,0.815773,3,8000,16000,10.6667,0.760073,25.6283,12,0.000444444
100,619,0.3,1.95358,7,19158,63860.2,42.5734,1.82019,61.3734,12,0.00177389
100,619,0.4,1.95358,7,19158,47895.1,31.9301,1.82019,61.3734,12,0.00133042
100,619,0.5,1.95358,7,19158,38316.1,25.5441,1.82019,61.3734,12,0.00106434
100,1000,0.3,5.09858,17,50000,166667,111.111,4.75045,160.177,12,0.00462963
100,1000,0.4,5.09858,17,50000,125000,83.3333,4.75045,160.177,12,0.00347222
100,1000,0.5,5.09858,17,50000,100000,66.6667,4.75045,160.177,12,0.00277778
100,2000,0.3,20.3943,68,200000,666667,444.444,19.0018,640.707,12,0.0185185
100,2000,0.4,20.3943,68,200000,500000,333.333,19.0018,640.707,12,0.0138889
100,2000,0.5,20.3943,68,200000,400000,266.667,19.0018,640.707,12,0.0111111
100,3000,0.3,45.8872,153,450000,1.5e+06,1000,42.7541,1441.59,12,0.0416667
100,3000,0.4,45.8872,153,450000,1.125e+06,750,42.7541,1441.59,12,0.03125
100,3000,0.5,45.8872,153,450000,900000,600,42.7541,1441.59,12,0.025
100,5000,0.3,127.465,425,1.25e+06,4.16667e+06,2777.78,118.761,4004.42,12,0.115741
100,5000,0.4,127.465,425,1.25e+06,3.125e+06,2083.33,118.761,4004.42,12,0.0868056
100,5000,0.5,127.465,425,1.25e+06,2.5e+06,1666.67,118.761,4004.42,12,0.0694444
175,400,0.3,0.815773,3,14000,46666.7,31.1111,0.760073,25.6283,12,0.0012963
175,400,0.4,0.815773,3,14000,35000,23.3333,0.760073,25.6283,12,0.000972222
175,400,0.5,0.815773,3,14000,28000,18.6667,0.760073,25.6283,12,0.000777778
175,619,0.3,1.95358,7,33526.6,111755,74.5035,1.82019,61.3734,12,0.00310431
175,619,0.4,1.95358,7,33526.6,83816.5,55.8776,1.82019,61.3734,12,0.00232824
175,619,0.5,1.95358,7,33526.6,67053.2,44.7021,1.82019,61.3734,12,0.00186259
175,1000,0.3,5.09858,17,87500,291667,194.444,4.75045,160.177,12,0.00810185
175,1000,0.4,5.09858,17,87500,218750,145.833,4.75045,160.177,12,0.00607639
175,1000,0.5,5.09858,17,87500,175000,116.667,4.75045,160.177,12,0.00486111
175,2000,0.3,20.3943,68,350000,1.16667e+06,777.778,19.0018,640.707,12,0.0324074
175,2000,0.4,20.3943,68,350000,875000,583.333,19.0018,640.707,12,0.0243056
175,2000,0.5,20.3943,68,350000,700000,466.667,19.0018,640.707,12,0.0194444
175,3000,0.3,45.8872,153,787500,2.625e+06,1750,42.7541,1441.59,12,0.0729167
175,3000,0.4,45.8872,153,787500,1.96875e+06,1312.5,42.7541,1441.59,12,0.0546875
175,3000,0.5,45.8872,153,787500,1.575e+06,1050,42.7541,1441.59,12,0.04375
175,5000,0.3,127.465,425,2.1875e+06,7.29167e+06,4861.11,118.761,4004.42,12,0.202546
175,5000,0.4,127.465,425,2.1875e+06,5.46875e+06,3645.83,118.761,4004.42,12,0.15191
175,5000,0.5,127.465,425,2.1875e+06,4.375e+06,2916.67,118.761,4004.42,12,0.121528
1000,400,0.3,0.815773,3,80000,266667,177.778,0.760073,25.6283,12,0.00740741
