h_km,dh_km,beta,Es_c_kJ_kg,v_circ_m_s,dv_shift_m_s,dv_direct_m_s,dv_ratio_direct_over_shift,Es_design_619_kJ_kg,Es_design_direct_619_kJ_kg,v_max_safe_m_s,v_design_max_m_s,v_self_disposal_min_m_s,self_disposal_ok
500,200,1,30,7616.56,56.4532,115.043,2.03785,34.9445,71.2116,1062.83,531.414,115.043,True
500,200,1,40,7616.56,56.4532,115.043,2.03785,34.9445,71.2116,1417.1,708.552,115.043,True
500,200,1,50,7616.56,56.4532,115.043,2.03785,34.9445,71.2116,1771.38,885.689,115.043,True
500,200,1.5,30,7616.56,56.4532,115.043,2.03785,23.2964,47.4744,1594.24,797.12,115.043,True
500,200,1.5,40,7616.56,56.4532,115.043,2.03785,23.2964,47.4744,2125.65,1062.83,115.043,True
500,200,1.5,50,7616.56,56.4532,115.043,2.03785,23.2964,47.4744,2657.07,1328.53,115.043,True
500,200,2,30,7616.56,56.4532,115.043,2.03785,17.4723,35.6058,2125.65,1062.83,115.043,True
500,200,2,40,7616.56,56.4532,115.043,2.03785,17.4723,35.6058,2834.21,1417.1,115.043,True
500,200,2,50,7616.56,56.4532,115.043,2.03785,17.4723,35.6058,3542.76,1771.38,115.043,True
500,200,2.5,30,7616.56,56.4532,115.043,2.03785,13.9778,28.4847,2657.07,1328.53,115.043,True
500,200,2.5,40,7616.56,56.4532,115.043,2.03785,13.9778,28.4847,3542.76,1771.38,115.043,True
500,200,2.5,50,7616.56,56.4532,115.043,2.03785,13.9778,28.4847,4428.45,2214.22,115.043,True
500,250,1,30,7616.56,70.8955,115.043,1.62271,43.8843,71.2116,846.316,423.158,115.043,True
500,250,1,40,7616.56,70.8955,115.043,1.62271,43.8843,71.2116,1128.42,564.211,115.043,True
500,250,1,50,7616.56,70.8955,115.043,1.62271,43.8843,71.2116,1410.53,705.264,115.043,True
500,250,1.5,30,7616.56,70.8955,115.043,1.62271,29.2562,47.4744,1269.47,634.737,115.043,True
500,250,1.5,40,7616.56,70.8955,115.043,1.62271,29.2562,47.4744,1692.63,846.316,115.043,True
500,250,1.5,50,7616.56,70.8955,115.043,1.62271,29.2562,47.4744,2115.79,1057.9,115.043,True
500,250,2,30,7616.56,70.8955,115.043,1.62271,21.9422,35.6058,1692.63,846.316,115.043,True
500,250,2,40,7616.56,70.8955,115.043,1.62271,21.9422,35.6058,2256.84,1128.42,115.043,True
500,250,2,50,7616.56,70.8955,115.043,1.62271,21.9422,35.6058,2821.05,1410.53,115.043,True
500,250,2.5,30,7616.56,70.8955,115.043,1.62271,17.5537,28.4847,2115.79,1057.9,115.043,True
500,250,2.5,40,7616.56,70.8955,115.043,1.62271,17.5537,28.4847,2821.05,1410.53,115.043,True
500,250,2.5,50,7616.56,70.8955,115.043,1.62271,17.5537,28.4847,3526.32,1763.16,115.043,True
600,150,1,30,7561.73,41.2326,141.969,3.44312,25.523,87.8788,1455.16,727.579,141.969,True
600,150,1,40,7561.73,41.2326,141.969,3.44312,25.523,87.8788,1940.21,970.105,141.969,True
600,150,1,50,7561.73,41.2326,141.969,3.44312,25.523,87.8788,2425.26,1212.63,141.969,True
600,150,1.5,30,7561.73,41.2326,141.969,3.44312,17.0153,58.5859,2182.74,1091.37,141.969,True
600,150,1.5,40,7561.73,41.2326,141.969,3.44312,17.0153,58.5859,2910.32,1455.16,141.969,True
600,150,1.5,50,7561.73,41.2326,141.969,3.44312,17.0153,58.5859,3637.9,1818.95,141.969,True
600,150,2,30,7561.73,41.2326,141.969,3.44312,12.7615,43.9394,2910.32,1455.16,141.969,True
600,150,2,40,7561.73,41.2326,141.969,3.44312,12.7615,43.9394,3880.42,1940.21,141.969,True
600,150,2,50,7561.73,41.2326,141.969,3.44312,12.7615,43.9394,4850.53,2425.26,141.969,True
600,150,2.5,30,7561.73,41.2326,141.969,3.44312,10.2092,35.1515,3637.9,1818.95,141.969,True
600,150,2.5,40,7561.73,41.2326,141.969,3.44312,10.2092,35.1515,4850.53,2425.26,141.969,True
600,150,2.5,50,7561.73,41.2326,141.969,3.44312,10.2092,35.1515,6063.16,3031.58,141.969,True
600,200,1,30,7561.73,55.2281,141.969,2.57059,34.1862,87.8788,1086.4,543.202,141.969,True
600,200,1,40,7561.73,55.2281,141.969,2.57059,34.1862,87.8788,1448.54,724.269,141.969,True
600,200,1,50,7561.73,55.2281,141.969,2.57059,34.1862,87.8788,1810.67,905.336,141.969,True
600,200,1.5,30,7561.73,55.2281,141.969,2.57059,22.7908,58.5859,1629.6,814.802,141.969,True
600,200,1.5,40,7561.73,55.2281,141.969,2.57059,22.7908,58.5859,2172.81,1086.4,141.969,True
600,200,1.5,50,7561.73,55.2281,141.969,2.57059,22.7908,58.5859,2716.01,1358,141.969,True
600,200,2,30,7561.73,55.2281,141.969,2.57059,17.0931,43.9394,2172.81,1086.4,141.969,True
600,200,2,40,7561.73,55.2281,141.969,2.57059,17.0931,43.9394,2897.07,1448.54,141.969,True
600,200,2,50,7561.73,55.2281,141.969,2.57059,17.0931,43.9394,3621.34,1810.67,141.969,True
600,200,2.5,30,7561.73,55.2281,141.969,2.57059,13.6745,35.1515,2716.01,1358,141.969,True
