theta_deg,dh_offset_m,v_transverse_m_s,R_m,tof_s,tau_s,t_view_s,t_obs_s,sigma_pos_m,sigma_v_m_s,miss_no_lead_m,miss_with_lead_m,n_samples_in_view
0.1,,12.9226,1000,1.61551,0.1,1547.68,10,0.00055,1.90526e-06,22.1688,3.26848e-06,1.54768e+06
1,,129.224,1,0.00161551,0.0001,0.15477,0.15477,5.5e-07,9.89518e-07,0.221685,1.69753e-09,154.77
1,,129.224,1,0.00161551,0.001,0.15477,0.15477,5.5e-07,9.89518e-07,0.337987,2.58809e-09,154.77
1,,129.224,1,0.00161551,0.005,0.15477,0.15477,5.5e-07,9.89518e-07,0.854883,6.54617e-09,154.77
1,,129.224,1,0.00161551,0.01,0.15477,0.15477,5.5e-07,9.89518e-07,1.501,1.14938e-08,154.77
1,,129.224,1,0.00161551,0.05,0.15477,0.15477,5.5e-07,9.89518e-07,6.66997,5.10745e-08,154.77
1,,129.224,1,0.00161551,0.1,0.15477,0.15477,5.5e-07,9.89518e-07,13.1312,1.0055e-07,154.77
1,,129.224,10,0.0161551,0.0001,1.5477,1.5477,5.5e-06,3.12913e-07,2.10055,5.08643e-09,1547.7
1,,129.224,10,0.0161551,0.001,1.5477,1.5477,5.5e-06,3.12913e-07,2.21685,5.36805e-09,1547.7
1,,129.224,10,0.0161551,0.005,1.5477,1.5477,5.5e-06,3.12913e-07,2.73375,6.61971e-09,1547.7
1,,129.224,10,0.0161551,0.01,1.5477,1.5477,5.5e-06,3.12913e-07,3.37987,8.18427e-09,1547.7
1,,129.224,10,0.0161551,0.05,1.5477,1.5477,5.5e-06,3.12913e-07,8.54883,2.07008e-08,1547.7
1,,129.224,10,0.0161551,0.1,1.5477,1.5477,5.5e-06,3.12913e-07,15.01,3.63465e-08,1547.7
1,,129.224,100,0.161551,0.0001,15.477,10,5.5e-05,1.90526e-07,20.8892,3.07986e-08,15477
1,,129.224,100,0.161551,0.001,15.477,10,5.5e-05,1.90526e-07,21.0055,3.09701e-08,15477
1,,129.224,100,0.161551,0.005,15.477,10,5.5e-05,1.90526e-07,21.5224,3.17322e-08,15477
1,,129.224,100,0.161551,0.01,15.477,10,5.5e-05,1.90526e-07,22.1685,3.26848e-08,15477
1,,129.224,100,0.161551,0.05,15.477,10,5.5e-05,1.90526e-07,27.3375,4.03059e-08,15477
1,,129.224,100,0.161551,0.1,15.477,10,5.5e-05,1.90526e-07,33.7987,4.98321e-08,15477
1,,129.224,1000,1.61551,0.0001,154.77,10,0.00055,1.90526e-06,208.776,3.07815e-06,154770
1,,129.224,1000,1.61551,0.001,154.77,10,0.00055,1.90526e-06,208.892,3.07986e-06,154770
1,,129.224,1000,1.61551,0.005,154.77,10,0.00055,1.90526e-06,209.409,3.08748e-06,154770
1,,129.224,1000,1.61551,0.01,154.77,10,0.00055,1.90526e-06,210.055,3.09701e-06,154770
1,,129.224,1000,1.61551,0.05,154.77,10,0.00055,1.90526e-06,215.224,3.17322e-06,154770
1,,129.224,1000,1.61551,0.1,154.77,10,0.00055,1.90526e-06,221.685,3.26848e-06,154770
8.5,,1097.41,1,0.00161551,0.0001,0.0182247,0.0182247,5.5e-07,2.44885e-05,1.88262,4.20103e-08,18.2247
8.5,,1097.41,1,0.00161551,0.001,0.0182247,0.0182247,5.5e-07,2.44885e-05,2.87029,6.405e-08,18.2247
8.5,,1097.41,1,0.00161551,0.005,0.0182247,0.0182247,5.5e-07,2.44885e-05,7.25994,1.62004e-07,18.2247
8.5,,1097.41,1,0.00161551,0.01,0.0182247,0.0182247,5.5e-07,2.44885e-05,12.747,2.84447e-07,18.2247
8.5,,1097.41,1,0.00161551,0.05,0.0182247,0.0182247,5.5e-07,2.44885e-05,56.6435,1.26399e-06,18.2247
8.5,,1097.41,1,0.00161551,0.1,0.0182247,0.0182247,5.5e-07,2.44885e-05,111.514,2.48842e-06,18.2247
8.5,,1097.41,10,0.0161551,0.0001,0.182247,0.182247,5.5e-06,7.74396e-06,17.8385,1.25879e-07,182.247
8.5,,1097.41,10,0.0161551,0.001,0.182247,0.182247,5.5e-06,7.74396e-06,18.8262,1.32848e-07,182.247
8.5,,1097.41,10,0.0161551,0.005,0.182247,0.182247,5.5e-06,7.74396e-06,23.2159,1.63824e-07,182.247
8.5,,1097.41,10,0.0161551,0.01,0.182247,0.182247,5.5e-06,7.74396e-06,28.7029,2.02544e-07,182.247
8.5,,1097.41,10,0.0161551,0.05,0.182247,0.182247,5.5e-06,7.74396e-06,72.5994,5.12302e-07,182.247
8.5,,1097.41,10,0.0161551,0.1,0.182247,0.182247,5.5e-06,7.74396e-06,127.47,8.995e-07,182.247
8.5,,1097.41,100,0.161551,0.0001,1.82247,1.82247,5.5e-05,2.44885e-06,177.398,3.9586e-07,1822.47
8.5,,1097.41,100,0.161551,0.001,1.82247,1.82247,5.5e-05,2.44885e-06,178.385,3.98063e-07,1822.47
8.5,,1097.41,100,0.161551,0.005,1.82247,1.82247,5.5e-05,2.44885e-06,182.775,4.07859e-07,1822.47
8.5,,1097.41,100,0.161551,0.01,1.82247,1.82247,5.5e-05,2.44885e-06,188.262,4.20103e-07,1822.47
8.5,,1097.41,100,0.161551,0.05,1.82247,1.82247,5.5e-05,2.44885e-06,232.159,5.18057e-07,1822.47
8.5,,1097.41,100,0.161551,0.1,1.82247,1.82247,5.5e-05,2.44885e-06,287.029,6.405e-07,1822.47
8.5,,1097.41,1000,1.61551,0.0001,18.2247,10,0.00055,1.90526e-06,1772.99,3.07815e-06,18224.7
8.5,,1097.41,1000,1.61551,0.001,18.2247,10,0.00055,1.90526e-06,1773.98,3.07986e-06,18224.7
8.5,,1097.41,1000,1.61551,0.005,18.2247,10,0.00055,1.90526e-06,1778.37,3.08748e-06,18224.7
8.5,,1097.41,1000,1.61551,0.01,18.2247,10,0.00055,1.90526e-06,1783.85,3.09701e-06,18224.7
