h_km,beta,v_rel_m_s,Es_c_kJ_kg,m_p_g,Es_kJ_kg,catastrophic,M_eff_kg,N_gt_1cm_SBM,N_gt_1mm_SBM,ejecta_g_gault,crater_volume_mm3,ejecta_g_energy_bound,ejecta_frac_of_target,KE_J
600,2.5,1000,40,0.0624615,22.0912,False,6.24615e-05,0.184803,9.47784,0.624615,62.4615,0.168646,0.119293,31.2308
600,2.5,1500,30,0.041641,33.1369,True,0.00145536,1.95987,100.514,0.624615,93.6923,0.252969,0.178939,46.8462
600,2.5,1500,50,0.041641,33.1369,False,6.24615e-05,0.184803,9.47784,0.624615,93.6923,0.252969,0.178939,46.8462
600,2.5,1500,40,0.041641,33.1369,False,6.24615e-05,0.184803,9.47784,0.624615,93.6923,0.252969,0.178939,46.8462
600,2.5,2000,30,0.0312308,44.1825,True,0.00144495,1.94935,99.9745,0.624615,124.923,0.337292,0.238585,62.4615
600,2.5,2000,50,0.0312308,44.1825,False,6.24615e-05,0.184803,9.47784,0.624615,124.923,0.337292,0.238585,62.4615
600,2.5,2000,40,0.0312308,44.1825,True,0.00144495,1.94935,99.9745,0.624615,124.923,0.337292,0.238585,62.4615
700,1,400,30,0.382034,21.6187,False,0.000152814,0.361511,18.5405,1.52814,61.1254,0.165039,0.116741,30.5627
700,1,400,50,0.382034,21.6187,False,0.000152814,0.361511,18.5405,1.52814,61.1254,0.165039,0.116741,30.5627
700,1,400,40,0.382034,21.6187,False,0.000152814,0.361511,18.5405,1.52814,61.1254,0.165039,0.116741,30.5627
700,1,619,30,0.246872,33.4549,True,0.00166059,2.1637,110.968,1.52814,94.5916,0.255397,0.180657,47.2958
700,1,619,50,0.246872,33.4549,False,0.000152814,0.361511,18.5405,1.52814,94.5916,0.255397,0.180657,47.2958
700,1,619,40,0.246872,33.4549,False,0.000152814,0.361511,18.5405,1.52814,94.5916,0.255397,0.180657,47.2958
700,1,800,30,0.191017,43.2374,True,0.00160473,2.10888,108.156,1.52814,122.251,0.330077,0.233482,61.1254
700,1,800,50,0.191017,43.2374,False,0.000152814,0.361511,18.5405,1.52814,122.251,0.330077,0.233482,61.1254
700,1,800,40,0.191017,43.2374,True,0.00160473,2.10888,108.156,1.52814,122.251,0.330077,0.233482,61.1254
700,1,1000,30,0.152814,54.0467,True,0.00156653,2.07111,106.219,1.52814,152.814,0.412596,0.291852,76.4068
700,1,1000,50,0.152814,54.0467,True,0.00156653,2.07111,106.219,1.52814,152.814,0.412596,0.291852,76.4068
700,1,1000,40,0.152814,54.0467,True,0.00156653,2.07111,106.219,1.52814,152.814,0.412596,0.291852,76.4068
700,1,1500,30,0.101876,81.0701,True,0.00151559,2.0204,103.618,1.52814,229.22,0.618895,0.437778,114.61
700,1,1500,50,0.101876,81.0701,True,0.00151559,2.0204,103.618,1.52814,229.22,0.618895,0.437778,114.61
700,1,1500,40,0.101876,81.0701,True,0.00151559,2.0204,103.618,1.52814,229.22,0.618895,0.437778,114.61
700,1,2000,30,0.0764068,108.093,True,0.00149012,1.99488,102.31,1.52814,305.627,0.825193,0.583705,152.814
700,1,2000,50,0.0764068,108.093,True,0.00149012,1.99488,102.31,1.52814,305.627,0.825193,0.583705,152.814
700,1,2000,40,0.0764068,108.093,True,0.00149012,1.99488,102.31,1.52814,305.627,0.825193,0.583705,152.814
700,1.5,400,30,0.254689,14.4125,False,0.000101876,0.266718,13.679,1.01876,40.7503,0.110026,0.0778273,20.3751
700,1.5,400,50,0.254689,14.4125,False,0.000101876,0.266718,13.679,1.01876,40.7503,0.110026,0.0778273,20.3751
700,1.5,400,40,0.254689,14.4125,False,0.000101876,0.266718,13.679,1.01876,40.7503,0.110026,0.0778273,20.3751
