h_km,v_rel_m_s,R_m,tof_s,dv_T_m_s,n_rad_s,n_times_tof,sigma_cw_m,sigma_ballistic_m,cw_over_ballistic,along_track_cw_m
600,1000,10,0.01,0.3,0.00108474,1.08474e-05,0.003,0.003,1,1.76499e-13
600,1000,10,0.01,1,0.00108474,1.08474e-05,0.01,0.01,1,5.88331e-13
600,1000,10,0.01,3,0.00108474,1.08474e-05,0.03,0.03,1,1.76499e-12
600,1000,50,0.05,0.001,0.00108474,5.42371e-05,5e-05,5e-05,1,7.35415e-14
600,1000,50,0.05,0.01,0.00108474,5.42371e-05,0.0005,0.0005,1,7.35415e-13
600,1000,50,0.05,0.1,0.00108474,5.42371e-05,0.005,0.005,1,7.35415e-12
600,1000,50,0.05,0.3,0.00108474,5.42371e-05,0.015,0.015,1,2.20625e-11
600,1000,50,0.05,1,0.00108474,5.42371e-05,0.05,0.05,1,7.35415e-11
600,1000,50,0.05,3,0.00108474,5.42371e-05,0.15,0.15,1,2.20625e-10
600,1000,100,0.1,0.001,0.00108474,0.000108474,0.0001,0.0001,1,5.88332e-13
600,1000,100,0.1,0.01,0.00108474,0.000108474,0.001,0.001,1,5.88332e-12
600,1000,100,0.1,0.1,0.00108474,0.000108474,0.01,0.01,1,5.88332e-11
600,1000,100,0.1,0.3,0.00108474,0.000108474,0.03,0.03,1,1.765e-10
600,1000,100,0.1,1,0.00108474,0.000108474,0.1,0.1,1,5.88332e-10
600,1000,100,0.1,3,0.00108474,0.000108474,0.3,0.3,1,1.765e-09
800,400,1,0.0025,0.001,0.00103968,2.5992e-06,2.5e-06,2.5e-06,1,8.44443e-18
800,400,1,0.0025,0.01,0.00103968,2.5992e-06,2.5e-05,2.5e-05,1,8.44443e-17
800,400,1,0.0025,0.1,0.00103968,2.5992e-06,0.00025,0.00025,1,8.44443e-16
800,400,1,0.0025,0.3,0.00103968,2.5992e-06,0.00075,0.00075,1,2.53333e-15
800,400,1,0.0025,1,0.00103968,2.5992e-06,0.0025,0.0025,1,8.44443e-15
800,400,1,0.0025,3,0.00103968,2.5992e-06,0.0075,0.0075,1,2.53333e-14
800,400,5,0.0125,0.001,0.00103968,1.2996e-05,1.25e-05,1.25e-05,1,1.0556e-15
800,400,5,0.0125,0.01,0.00103968,1.2996e-05,0.000125,0.000125,1,1.0556e-14
800,400,5,0.0125,0.1,0.00103968,1.2996e-05,0.00125,0.00125,1,1.0556e-13
800,400,5,0.0125,0.3,0.00103968,1.2996e-05,0.00375,0.00375,1,3.1668e-13
800,400,5,0.0125,1,0.00103968,1.2996e-05,0.0125,0.0125,1,1.0556e-12
800,400,5,0.0125,3,0.00103968,1.2996e-05,0.0375,0.0375,1,3.1668e-12
800,400,10,0.025,0.001,0.00103968,2.5992e-05,2.5e-05,2.5e-05,1,8.44478e-15
800,400,10,0.025,0.01,0.00103968,2.5992e-05,0.00025,0.00025,1,8.44478e-14
800,400,10,0.025,0.1,0.00103968,2.5992e-05,0.0025,0.0025,1,8.44478e-13
800,400,10,0.025,0.3,0.00103968,2.5992e-05,0.0075,0.0075,1,2.53343e-12
800,400,10,0.025,1,0.00103968,2.5992e-05,0.025,0.025,1,8.44478e-12
800,400,10,0.025,3,0.00103968,2.5992e-05,0.075,0.075,1,2.53343e-11
800,400,50,0.125,0.001,0.00103968,0.00012996,0.000125,0.000125,1,1.0556e-12
800,400,50,0.125,0.01,0.00103968,0.00012996,0.00125,0.00125,1,1.0556e-11
800,400,50,0.125,0.1,0.00103968,0.00012996,0.0125,0.0125,1,1.0556e-10
800,400,50,0.125,0.3,0.00103968,0.00012996,0.0375,0.0375,1,3.16679e-10
800,400,50,0.125,1,0.00103968,0.00012996,0.125,0.125,1,1.0556e-09
800,400,50,0.125,3,0.00103968,0.00012996,0.375,0.375,1,3.16679e-09
800,400,100,0.25,0.001,0.00103968,0.00025992,0.00025,0.00025,1,8.44479e-12
800,400,100,0.25,0.01,0.00103968,0.00025992,0.0025,0.0025,1,8.44479e-11
800,400,100,0.25,0.1,0.00103968,0.00025992,0.025,0.025,1,8.44479e-10
800,400,100,0.25,0.3,0.00103968,0.00025992,0.075,0.075,1,2.53344e-09
800,400,100,0.25,1,0.00103968,0.00025992,0.25,0.25,1,8.44479e-09
800,400,100,0.25,3,0.00103968,0.00025992,0.75,0.75,1,2.53344e-08
800,619,1,0.00161551,0.001,0.00103968,1.67961e-06,1.61551e-06,1.61551e-06,1,2.27853e-18
800,619,1,0.00161551,0.01,0.00103968,1.67961e-06,1.61551e-05,1.61551e-05,1,2.27853e-17
800,619,1,0.00161551,0.1,0.00103968,1.67961e-06,0.000161551,0.000161551,1,2.27853e-16
800,619,1,0.00161551,0.3,0.00103968,1.67961e-06,0.000484653,0.000484653,1,6.83559e-16
800,619,1,0.00161551,1,0.00103968,1.67961e-06,0.00161551,0.00161551,1,2.27853e-15
800,619,1,0.00161551,3,0.00103968,1.67961e-06,0.00484653,0.00484653,1,6.83559e-15
800,619,5,0.00807754,0.001,0.00103968,8.39805e-06,8.07754e-06,8.07754e-06,1,2.84842e-16
800,619,5,0.00807754,0.01,0.00103968,8.39805e-06,8.07754e-05,8.07754e-05,1,2.84842e-15
800,619,5,0.00807754,0.1,0.00103968,8.39805e-06,0.000807754,0.000807754,1,2.84842e-14
800,619,5,0.00807754,0.3,0.00103968,8.39805e-06,0.00242326,0.00242326,1,8.54527e-14
800,619,5,0.00807754,1,0.00103968,8.39805e-06,0.00807754,0.00807754,1,2.84842e-13
800,619,5,0.00807754,3,0.00103968,8.39805e-06,0.0242326,0.0242326,1,8.54527e-13
800,619,10,0.0161551,0.001,0.00103968,1.67961e-05,1.61551e-05,1.61551e-05,1,2.27875e-15
800,619,10,0.0161551,0.01,0.00103968,1.67961e-05,0.000161551,0.000161551,1,2.27875e-14
800,619,10,0.0161551,0.1,0.00103968,1.67961e-05,0.00161551,0.00161551,1,2.27875e-13
800,619,10,0.0161551,0.3,0.00103968,1.67961e-05,0.00484653,0.00484653,1,6.83625e-13
800,619,10,0.0161551,1,0.00103968,1.67961e-05,0.0161551,0.0161551,1,2.27875e-12
800,619,10,0.0161551,3,0.00103968,1.67961e-05,0.0484653,0.0484653,1,6.83625e-12
800,619,50,0.0807754,0.001,0.00103968,8.39805e-05,8.07754e-05,8.07754e-05,1,2.84844e-13
800,619,50,0.0807754,0.01,0.00103968,8.39805e-05,0.000807754,0.000807754,1,2.84844e-12
800,619,50,0.0807754,0.1,0.00103968,8.39805e-05,0.00807754,0.00807754,1,2.84844e-11
800,619,50,0.0807754,0.3,0.00103968,8.39805e-05,0.0242326,0.0242326,1,8.54531e-11
800,619,50,0.0807754,1,0.00103968,8.39805e-05,0.0807754,0.0807754,1,2.84844e-10
800,619,50,0.0807754,3,0.00103968,8.39805e-05,0.242326,0.242326,1,8.54531e-10
800,619,100,0.161551,0.001,0.00103968,0.000167961,0.000161551,0.000161551,1,2.27875e-12
800,619,100,0.161551,0.01,0.00103968,0.000167961,0.00161551,0.00161551,1,2.27875e-11
800,619,100,0.161551,0.1,0.00103968,0.000167961,0.0161551,0.0161551,1,2.27875e-10
800,619,100,0.161551,0.3,0.00103968,0.000167961,0.0484653,0.0484653,1,6.83625e-10
800,619,100,0.161551,1,0.00103968,0.000167961,0.161551,0.161551,1,2.27875e-09
800,619,100,0.161551,3,0.00103968,0.000167961,0.484653,0.484653,1,6.83625e-09
800,1000,1,0.001,0.001,0.00103968,1.03968e-06,1e-06,1e-06,1,5.40761e-19
800,1000,1,0.001,0.01,0.00103968,1.03968e-06,1e-05,1e-05,1,5.40761e-18
800,1000,1,0.001,0.1,0.00103968,1.03968e-06,0.0001,0.0001,1,5.40761e-17
800,1000,1,0.001,0.3,0.00103968,1.03968e-06,0.0003,0.0003,1,1.62228e-16
800,1000,1,0.001,1,0.00103968,1.03968e-06,0.001,0.001,1,5.40761e-16
800,1000,1,0.001,3,0.00103968,1.03968e-06,0.003,0.003,1,1.62228e-15
800,1000,5,0.005,0.001,0.00103968,5.1984e-06,5e-06,5e-06,1,6.75579e-17
800,1000,5,0.005,0.01,0.00103968,5.1984e-06,5e-05,5e-05,1,6.75579e-16
800,1000,5,0.005,0.1,0.00103968,5.1984e-06,0.0005,0.0005,1,6.75579e-15
800,1000,5,0.005,0.3,0.00103968,5.1984e-06,0.0015,0.0015,1,2.02674e-14
800,1000,5,0.005,1,0.00103968,5.1984e-06,0.005,0.005,1,6.75579e-14
800,1000,5,0.005,3,0.00103968,5.1984e-06,0.015,0.015,1,2.02674e-13
800,1000,10,0.01,0.001,0.00103968,1.03968e-05,1e-05,1e-05,1,5.40468e-16
800,1000,10,0.01,0.01,0.00103968,1.03968e-05,0.0001,0.0001,1,5.40468e-15
800,1000,10,0.01,0.1,0.00103968,1.03968e-05,0.001,0.001,1,5.40468e-14
800,1000,10,0.01,0.3,0.00103968,1.03968e-05,0.003,0.003,1,1.6214e-13
800,1000,10,0.01,1,0.00103968,1.03968e-05,0.01,0.01,1,5.40468e-13
800,1000,10,0.01,3,0.00103968,1.03968e-05,0.03,0.03,1,1.6214e-12
800,1000,50,0.05,0.001,0.00103968,5.1984e-05,5e-05,5e-05,1,6.75583e-14
800,1000,50,0.05,0.01,0.00103968,5.1984e-05,0.0005,0.0005,1,6.75583e-13
800,1000,50,0.05,0.1,0.00103968,5.1984e-05,0.005,0.005,1,6.75583e-12
800,1000,50,0.05,0.3,0.00103968,5.1984e-05,0.015,0.015,1,2.02675e-11
800,1000,50,0.05,1,0.00103968,5.1984e-05,0.05,0.05,1,6.75583e-11
800,1000,50,0.05,3,0.00103968,5.1984e-05,0.15,0.15,1,2.02675e-10
800,1000,100,0.1,0.001,0.00103968,0.000103968,0.0001,0.0001,1,5.40466e-13
800,1000,100,0.1,0.01,0.00103968,0.000103968,0.001,0.001,1,5.40466e-12
800,1000,100,0.1,0.1,0.00103968,0.000103968,0.01,0.01,1,5.40466e-11
800,1000,100,0.1,0.3,0.00103968,0.000103968,0.03,0.03,1,1.6214e-10
800,1000,100,0.1,1,0.00103968,0.000103968,0.1,0.1,1,5.40466e-10
800,1000,100,0.1,3,0.00103968,0.000103968,0.3,0.3,1,1.6214e-09
