d_debris_cm,solar_case,h_km,n,P_viable_design,P_viable_plan,P_viable_objcost,P_viable_useful,P_c5_cost_per_object,P_c6_remediation_value,median_t_natural_yr,P_c1_subcatastrophic,P_c2_plan_phit,P_c2_design_mass,P_c3_decay,P_c4_net_debris,P_c5_cost,P_self_disposal,median_cost_per_kg,median_cost_per_object,median_m_shot_g,median_d_miss_mm,median_t_decay_yr
5,solar_min,900,7407,0,0,0,0,0.532874,0,10000,0.878628,0.249629,0.738491,0,0.878628,0.212907,1,255637,45180.2,430.957,39.7615,10000
5,solar_min,1000,7407,0,0,0,0,0.536925,0,10000,0.885379,0.259484,0.743351,0,0.885379,0.229108,1,252698,44863.3,414.443,39.2726,10000
5,solar_min,1100,7407,0,0,0,0,0.482382,0,10000,0.894694,0.264885,0.752126,0,0.894694,0.17524,1,299807,52757.5,400.176,39.3135,10000
5,solar_min,1200,7407,0,0,0,0,0.477926,0,10000,0.90158,0.260429,0.751451,0,0.90158,0.179695,1,303108,53468.9,403.933,39.6612,10000
5,nominal,400,7407,0.212367,0.0523829,0.363035,0,0.584447,0,0.312242,0.825705,0.260834,0.708519,1,0.825705,0.2796,1,212483,37304.3,480.681,39.8679,0.0187359
5,nominal,500,7407,0.217902,0.0588632,0.377076,0,0.593223,0,1.73017,0.828811,0.260969,0.715134,1,0.828811,0.283786,1,207258,36653.4,462.633,40.0921,0.198963
5,nominal,600,7407,0.222087,0.0591333,0.387606,0,0.597813,0,7.96398,0.853382,0.261509,0.722425,1,0.853382,0.282436,1,205581,36465.1,473.039,39.973,1.24327
5,nominal,700,7407,0.235318,0.0634535,0.399892,0.399892,0.596733,1,31.8677,0.858107,0.259754,0.72499,1,0.858107,0.293371,1,203759,36033.7,450.755,39.8025,6.06499
5,nominal,800,7407,0.0978804,0.0236263,0.168489,0.168489,0.594168,0.489672,109.996,0.866208,0.258404,0.73363,0.489672,0.866208,0.288511,1,206555,36238.5,445.147,40.2563,25.234
5,nominal,900,7407,0,0,0,0,0.600378,0,10000,0.875928,0.253409,0.7285,0,0.875928,0.299986,1,199191,34900.7,432.472,39.8531,91.2188
5,nominal,1000,7407,0,0,0,0,0.54084,0,10000,0.889159,0.252059,0.747131,0,0.889159,0.218037,1,250599,44156.1,419.956,39.56,9939
5,nominal,1100,7407,0,0,0,0,0.528959,0,10000,0.891454,0.261374,0.745376,0,0.891454,0.214392,1,261700,46036.1,401.928,39.6325,10000
5,nominal,1200,7407,0,0,0,0,0.491157,0,10000,0.902525,0.259889,0.751451,0,0.902525,0.177265,1,291381,51453.2,407.105,39.9793,10000
5,solar_max,400,7407,0.221412,0.0588632,0.379236,0,0.604023,0,0.122591,0.81855,0.248954,0.72202,1,0.81855,0.293911,1,200057,35429.1,444.167,38.9828,0.0115092
5,solar_max,500,7407,0.217362,0.0564331,0.379776,0,0.599838,0,0.528017,0.832321,0.258944,0.723775,1,0.832321,0.28149,1,202308,35800.8,459.115,39.5058,0.0879629
5,solar_max,600,7407,0.227082,0.0646686,0.391792,0,0.592683,0,1.92149,0.850277,0.265695,0.721885,1,0.850277,0.284866,1,207291,36557.7,453.912,39.5696,0.414483
5,solar_max,700,7407,0.228433,0.0571081,0.386526,0,0.588632,0,6.25381,0.857972,0.250304,0.72013,1,0.857972,0.282301,1,212308,37786.4,459.746,40.1415,1.58038
5,solar_max,800,7407,0.227082,0.0607533,0.400702,0,0.602538,0,18.6608,0.865668,0.255974,0.73147,1,0.865668,0.286351,1,201270,35129.9,448.818,40.2053,5.27794
5,solar_max,900,7407,0.237883,0.0641285,0.407317,0.407317,0.588767,1,51.4056,0.876873,0.259079,0.7339,1,0.876873,0.287971,1,206476,36348.7,434.333,40.0815,16.0828
5,solar_max,1000,7407,0,0,0,0,0.602673,0,130.145,0.886054,0.264345,0.748616,0,0.886054,0.302687,1,199005,34890.5,428.088,40.0127,45.23
5,solar_max,1100,7407,0,0,0,0,0.595653,0,10000,0.898744,0.264885,0.751316,0,0.898744,0.291346,1,203817,36180.7,413.377,40.2922,116.586
5,solar_max,1200,7407,0,0,0,0,0.54759,0,10000,0.90185,0.247604,0.756312,0,0.90185,0.231268,1,245358,43188.3,395.75,39.5834,10000
10,solar_min,400,7407,0.352639,0.164574,0.258944,0,0.507223,0,2.90574,0.82503,0.246524,0.515998,1,0.82503,0.817605,1,34854.5,48917.1,954.043,39.732,0.0700242
10,solar_min,500,7407,0.357905,0.178615,0.26691,0.26691,0.520184,1,26.4498,0.82665,0.255164,0.525854,1,0.82665,0.820845,1,33396.6,46878.3,909.57,39.3657,1.42264
10,solar_min,600,7407,0.298906,0.149183,0.222222,0.222222,0.532469,0.81585,172.003,0.849737,0.253544,0.534764,0.81585,0.849737,0.835426,1,31853.6,45108.8,881.537,39.4672,15.4897
10,solar_min,700,7407,0,0,0,0,0.521129,0,10000,0.866343,0.253139,0.529364,0,0.866343,0.828001,1,33282,46826.4,892.947,40.2057,123.703
10,solar_min,800,7407,0,0,0,0,0.527609,0,10000,0.864588,0.245984,0.532739,0,0.864588,0.839611,1,32181.7,45033,877.543,39.7318,10000
10,solar_min,900,7407,0,0,0,0,0.416363,0,10000,0.876063,0.251384,0.532739,0,0.876063,0.771432,1,45283.3,63794.3,889.093,40.5439,10000
