h_km,beta,v_rel_m_s,d_debris_cm,m_t_g,m_p_min_g,m_p_design_g,f_h_g_per_g,f_h_v4_direct_g_per_g,f_ratio_v4_over_v5,Es_kJ_kg,Es_below_threshold,d_grain_Re_mm_if_single,d_grain_W_mm_if_single
500,1.5,800,5,176.715,8.31342,16.6268,0.0940887,0.191738,2.03785,30.1084,True,11.4761,11.8157
500,1.5,800,10,1413.72,66.5074,133.015,0.0940887,0.191738,2.03785,30.1084,True,22.9522,23.6314
500,1.5,1000,0.5,0.176715,0.00665074,0.0133015,0.0752709,0.153391,2.03785,37.6355,True,1.06535,1.09687
500,1.5,1000,1,1.41372,0.0532059,0.106412,0.0752709,0.153391,2.03785,37.6355,True,2.1307,2.19375
500,1.5,1000,2,11.3097,0.425647,0.851294,0.0752709,0.153391,2.03785,37.6355,True,4.26139,4.3875
500,1.5,1000,5,176.715,6.65074,13.3015,0.0752709,0.153391,2.03785,37.6355,True,10.6535,10.9687
500,1.5,1000,10,1413.72,53.2059,106.412,0.0752709,0.153391,2.03785,37.6355,True,21.307,21.9375
500,2,400,0.5,0.176715,0.0124701,0.0249403,0.141133,0.287608,2.03785,11.2906,True,1.31369,1.35256
500,2,400,1,1.41372,0.099761,0.199522,0.141133,0.287608,2.03785,11.2906,True,2.62738,2.70512
500,2,400,2,11.3097,0.798088,1.59618,0.141133,0.287608,2.03785,11.2906,True,5.25475,5.41025
500,2,400,5,176.715,12.4701,24.9403,0.141133,0.287608,2.03785,11.2906,True,13.1369,13.5256
500,2,400,10,1413.72,99.761,199.522,0.141133,0.287608,2.03785,11.2906,True,26.2738,27.0512
500,2,619,0.5,0.176715,0.00805824,0.0161165,0.0912006,0.185853,2.03785,17.4723,True,1.13575,1.16936
500,2,619,1,1.41372,0.0644659,0.128932,0.0912006,0.185853,2.03785,17.4723,True,2.2715,2.33871
500,2,619,2,11.3097,0.515728,1.03146,0.0912006,0.185853,2.03785,17.4723,True,4.54299,4.67743
500,2,619,5,176.715,8.05824,16.1165,0.0912006,0.185853,2.03785,17.4723,True,11.3575,11.6936
500,2,619,10,1413.72,64.4659,128.932,0.0912006,0.185853,2.03785,17.4723,True,22.715,23.3871
500,2,800,0.5,0.176715,0.00623506,0.0124701,0.0705665,0.143804,2.03785,22.5813,True,1.04267,1.07353
500,2,800,1,1.41372,0.0498805,0.099761,0.0705665,0.143804,2.03785,22.5813,True,2.08535,2.14706
500,2,800,2,11.3097,0.399044,0.798088,0.0705665,0.143804,2.03785,22.5813,True,4.1707,4.29412
500,2,800,5,176.715,6.23506,12.4701,0.0705665,0.143804,2.03785,22.5813,True,10.4267,10.7353
500,2,800,10,1413.72,49.8805,99.761,0.0705665,0.143804,2.03785,22.5813,True,20.8535,21.4706
500,2,1000,0.5,0.176715,0.00498805,0.0099761,0.0564532,0.115043,2.03785,28.2266,True,0.967933,0.996576
500,2,1000,1,1.41372,0.0399044,0.0798088,0.0564532,0.115043,2.03785,28.2266,True,1.93587,1.99315
500,2,1000,2,11.3097,0.319235,0.638471,0.0564532,0.115043,2.03785,28.2266,True,3.87173,3.98631
500,2,1000,5,176.715,4.98805,9.9761,0.0564532,0.115043,2.03785,28.2266,True,9.67933,9.96576
500,2,1000,10,1413.72,39.9044,79.8088,0.0564532,0.115043,2.03785,28.2266,True,19.3587,19.9315
500,2.5,400,0.5,0.176715,0.0099761,0.0199522,0.112906,0.230086,2.03785,9.03251,True,1.21952,1.25561
500,2.5,400,1,1.41372,0.0798088,0.159618,0.112906,0.230086,2.03785,9.03251,True,2.43904,2.51121
500,2.5,400,2,11.3097,0.638471,1.27694,0.112906,0.230086,2.03785,9.03251,True,4.87808,5.02243
500,2.5,400,5,176.715,9.9761,19.9522,0.112906,0.230086,2.03785,9.03251,True,12.1952,12.5561
500,2.5,400,10,1413.72,79.8088,159.618,0.112906,0.230086,2.03785,9.03251,True,24.3904,25.1121
500,2.5,619,0.5,0.176715,0.00644659,0.0128932,0.0729605,0.148682,2.03785,13.9778,True,1.05433,1.08553
500,2.5,619,1,1.41372,0.0515728,0.103146,0.0729605,0.148682,2.03785,13.9778,True,2.10867,2.17107
