R_m,tau_ms,u_m_s,pointing_urad,muzzle_frac,lidar_bw,sigma_range_m,tof_s,t_go_s,sigma_pos_m,sigma_pos_snr10_m,sigma_v_m_s,a_rel_m_s2,term_vel_extrap_m,term_rel_accel_m,term_pointing_m,term_muzzle_m,term_range_m,d_miss_M1_v4_m,d_miss_M2_coorbital_m,d_miss_M3_extrapolating_m,penalty_M3,penalty_M1,M_launch_M3_g,M_launch_M1_g,p_hit_plan_M1,p_hit_plan_M3
1,0.1,50,50,0.01,1 MHz (plan spec),33.5178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,5e-05,0.000807754,2.70742,0.0619,0.00506508,2.70742,3.67037e+06,1918.59,591334,309.103,0.98682,9.48558e-12
1,0.1,50,50,0.01,100 MHz,0.335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,5e-05,0.000807754,0.0270742,0.0619,0.00506508,0.0270863,367.365,1918.59,59.1862,309.103,0.98682,0.997463
1,0.1,50,50,0.01,1 GHz,0.0335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,5e-05,0.000807754,0.00270742,0.0619,0.00506508,0.00282579,3.99835,1918.59,0.644174,309.103,0.98682,0.999972
1,0.1,50,200,0.001,1 MHz (plan spec),33.5178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.0002,8.07754e-05,2.70742,0.0619,0.00500465,2.70742,3.67037e+06,1918.59,591334,309.103,0.98682,9.4856e-12
1,0.1,50,200,0.001,100 MHz,0.335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.0002,8.07754e-05,0.0270742,0.0619,0.00500465,0.027075,367.061,1918.59,59.1371,309.103,0.98682,0.997465
1,0.1,50,200,0.001,1 GHz,0.0335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.0002,8.07754e-05,0.00270742,0.0619,0.00500465,0.002716,3.69368,1918.59,0.595089,309.103,0.98682,0.999974
1,0.1,50,200,0.01,1 MHz (plan spec),33.5178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.0002,0.000807754,2.70742,0.0619,0.00506878,2.70742,3.67037e+06,1918.59,591334,309.103,0.98682,9.48558e-12
1,0.1,50,200,0.01,100 MHz,0.335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.0002,0.000807754,0.0270742,0.0619,0.00506878,0.027087,367.384,1918.59,59.1892,309.103,0.98682,0.997463
1,0.1,50,200,0.01,1 GHz,0.0335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.0002,0.000807754,0.00270742,0.0619,0.00506878,0.00283242,4.01713,1918.59,0.647199,309.103,0.98682,0.999972
1,0.1,50,1000,0.001,1 MHz (plan spec),33.5178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.001,8.07754e-05,2.70742,0.0619,0.00509966,2.70742,3.67037e+06,1918.59,591334,309.103,0.98682,9.48557e-12
