error_multiple,fg01_delivered_fraction,fg01_miss_mm,laser_pointing_error_m,laser_fluence_J_cm2,laser_above_threshold,laser_delivered_fraction
11.8927,2.92413e-13,68.6803,3.00291,1.13523e-122,False,0
12.2226,5.65361e-14,70.5853,3.0862,1.3991e-129,False,0
12.5616,9.95131e-15,72.543,3.17179,7.04745e-137,False,0
12.91,1.5861e-15,74.5551,3.25977,1.37967e-144,False,0
13.268,2.27621e-16,76.6229,3.35018,9.95402e-153,False,0
13.636,2.92363e-17,78.7481,3.4431,2.50218e-161,False,0
14.0142,3.33974e-18,80.9323,3.5386,2.06529e-170,False,0
14.4029,3.37033e-19,83.177,3.63674,5.25758e-180,False,0
14.8024,2.98355e-20,85.484,3.73761,3.86369e-190,False,0
15.213,2.29957e-21,87.855,3.84128,7.64332e-201,False,0
15.6349,1.53102e-22,90.2917,3.94782,3.78069e-212,False,0
16.0686,8.73201e-24,92.7961,4.05732,4.32528e-224,False,0
16.5143,4.22875e-25,95.3699,4.16985,1.05402e-236,False,0
16.9723,1.72278e-26,98.015,4.28551,5.01541e-250,False,0
17.443,5.84638e-28,100.734,4.40437,4.25095e-264,False,0
17.9268,1.63556e-29,103.528,4.52653,5.82438e-279,False,0
18.4241,3.7307e-31,106.399,4.65208,1.16436e-294,False,0
18.9351,6.85826e-33,109.35,4.7811,3.04779e-311,False,0
19.4603,1.0037e-34,112.383,4.91371,0,False,0
20,1.15434e-36,115.5,5.05,0,False,0
